"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",240,11.3052315142739,-0.588911610219296,1.06879988868367,965.447903395518,0.99,955.793424361563
"female",241,11.3219198481352,-0.524879382333088,1.06883956755532,965.712047817842,0.99,956.054927339664
"female",242,11.3386301979624,-0.461853277342866,1.06888189304814,965.97837551874,0.99,956.318591763552
"female",243,11.3553611202591,-0.399817688949522,1.06892659201046,966.246856857383,0.99,956.58438828881
"female",244,11.3721111715293,-0.338757010853949,1.06897339129062,966.517462192949,0.99,956.852287571019
"female",245,11.3888789082766,-0.278655636757041,1.06902201773695,966.790161884608,0.99,957.122260265762
"female",246,11.405662887005,-0.219497960359689,1.06907219819778,967.064926291537,0.99,957.394277028622
"female",247,11.4224616642181,-0.161268375362787,1.06912365952145,967.341725772908,0.99,957.668308515179
"female",248,11.4392737964197,-0.103951275467227,1.06917612855628,967.620530687897,0.99,957.944325381018
"female",249,11.4560978401138,-0.0475310543738997,1.06922933215061,967.901311395676,0.99,958.222298281719
"female",250,11.472932351804,0.00800789421629865,1.06928299715276,968.18403825542,0.99,958.502197872866
"female",251,11.4897758879942,0.062681176602477,1.06933685041109,968.468681626302,0.99,958.783994810039
"female",252,11.5066270051881,0.116504399083743,1.06939061877391,968.755211867497,0.99,959.067659748823
"female",253,11.5234842598895,0.169493167959203,1.06944402908955,969.043599338179,0.99,959.353163344797
"female",254,11.5403462086023,0.221663089527966,1.06949680820636,969.333814397522,0.99,959.640476253546
"female",255,11.5572114078302,0.273029770089138,1.06954868297266,969.625827404698,0.99,959.929569130652
"female",256,11.574078414077,0.323608815941827,1.06959938023679,969.919608718884,0.99,960.220412631695
"female",257,11.5909457838466,0.373415833385139,1.06964862684707,970.215128699252,0.99,960.51297741226
"female",258,11.6078120736426,0.422466428718185,1.06969614965185,970.512357704977,0.99,960.807234127927
"female",259,11.624675839969,0.470776208240067,1.06974167549944,970.811266095231,0.99,961.103153434279
"female",260,11.6415356393294,0.518360778249897,1.06978493123819,971.111824229191,0.99,961.400705986899
"female",261,11.6583900282278,0.565235745046779,1.06982564371643,971.414002466028,0.99,961.699862441368
"female",262,11.6752375631678,0.611416714929824,1.06986353978249,971.717771164918,0.99,962.000593453269
"female",263,11.6920768006533,0.656919294198135,1.0698983462847,972.023100685034,0.99,962.302869678184
"female",264,11.708906297188,0.701759089150824,1.06992979007139,972.329961385551,0.99,962.606661771695
"female",265,11.7257246092758,0.745951706086995,1.0699575979909,972.638323625642,0.99,962.911940389385
"female",266,11.7425302934205,0.789512751305755,1.06998149689156,972.948157764481,0.99,963.218676186836
"female",267,11.7593219061258,0.832457831106214,1.07000121362171,973.259434161242,0.99,963.52683981963
"female",268,11.7760980038956,0.874802551787477,1.07001647502966,973.572123175099,0.99,963.836401943348
"female",269,11.7928571432336,0.916562519648653,1.07002700796376,973.886195165227,0.99,964.147333213574
"female",270,11.8095978806436,0.957753340988847,1.07003253927234,974.201620490798,0.99,964.45960428589
"female",271,11.8263187726295,0.998390622107171,1.07003279580374,974.518369510988,0.99,964.773185815878
"female",272,11.8430183756949,1.03848996930273,1.07002750440627,974.836412584969,0.99,965.088048459119
"female",273,11.8596952463438,1.07806698887463,1.07001639192828,975.155720071917,0.99,965.404162871197
"female",274,11.8763479410976,1.11713728699137,1.06999918522171,975.476262331232,0.99,965.72149970792
"female",275,11.8929753278607,1.15571417488535,1.06997567465113,975.79801372773,0.99,966.040033590453
"female",276,11.9095773794578,1.19380282037035,1.0699458759511,976.12096283915,0.99,966.359753210758
"female",277,11.9261543136801,1.23140658581985,1.06990985482196,976.445101394313,0.99,966.68065038037
"female",278,11.9427063483191,1.26852883360733,1.06986767696405,976.770421122041,0.99,967.002716910821
"female",279,11.9592337011663,1.30517292610629,1.0698194080777,977.096913751157,0.99,967.325944613646
"female",280,11.9757365900129,1.3413422256902,1.06976511386324,977.424571010482,0.99,967.650325300377
"female",281,11.9922152326505,1.37704009473255,1.06970486002101,977.753384628838,0.99,967.97585078255
"female",282,12.0086698468703,1.41226989560683,1.06963871225135,978.083346335047,0.99,968.302512871697
"female",283,12.0251006504639,1.44703499068652,1.06956673625459,978.414447857931,0.99,968.630303379351
"female",284,12.0415078612226,1.48133874234511,1.06948899773106,978.746680926311,0.99,968.959214117048
"female",285,12.0578916969377,1.51518451295608,1.0694055623811,979.08003726901,0.99,969.289236896319
"female",286,12.0742523754008,1.54857566489291,1.06931649590505,979.414508614848,0.99,969.6203635287
